airport_id,origin_codes,observed_seq_count,station_ids,unique_station_count,spatial_qualified,all_station_dates_complete_365,final_date_supported
10747,BRO,2,USI0000KBRO,1,True,False,False
10754,BRW,1,USW00027502,1,True,False,False
10779,BTM,2,USW00024135,1,True,True,True
10781,BTR,1,USW00013970,1,True,True,True
10785,BTV,2,USW00014742,1,True,True,True
10792,BUF,1,USW00014733,1,True,True,True
10800,BUR,1,USW00023152,1,True,True,True
10821,BWI,1,USW00093721,1,True,True,True
10849,BZN,1,USW00024132,1,True,True,True
10868,CAE,1,USW00013883,1,True,True,True
10874,CAK,2,USW00014895,1,True,True,True
10918,CDC,2,USW00093129,1,True,True,True
10926,CDV,1,USW00026410,1,True,False,False
10980,CHA,2,USW00013882,1,True,True,True
10990,CHO,1,USW00093736,1,True,True,True
10994,CHS,1,USW00013758,1,True,False,False
11003,CID,1,USW00014990,1,True,True,True
11027,CKB,1,USW00003802,1,True,True,True
11042,CLE,2,USW00014820,1,True,True,True
11049,CLL,2,USW00003904,1,True,True,True
11057,CLT,2,USW00013881,1,True,True,True
11066,CMH,1,USW00014821,1,True,True,True
11067,CMI,2,USW00094870,1,True,True,True
11076,CMX,2,USW00014858,1,True,False,False
11097,COD,1,USW00024045,1,True,False,False
11109,COS,1,USW00093037,1,True,True,True
11111,COU,2,USW00003945,1,True,True,True
11122,CPR,1,USW00024089,1,True,True,True
11140,CRP,2,USW00012924,1,True,True,True
11146,CRW,1,USW00013866,1,True,True,True
11193,CVG,1,USW00093814,1,True,True,True
11203,CWA,2,USW00094890,1,True,False,False
11233,CYS,2,USW00024018,1,True,True,True
11252,DAB,1,USW00012846,1,True,False,False
11259,DAL,2,USW00013960,1,True,True,True
11267,DAY,2,USW00093815,1,True,True,True
11278,DCA,1,USW00013751,1,True,False,False
11283,DDC,1,USW00013985,1,True,True,True
11288,DEC,1,USW00003887,1,True,True,True
11292,DEN,2,USW00003017,1,True,True,True
11298,DFW,1,USW00003927,1,True,True,True
11308,DHN,1,USW00013839,1,True,True,True
11315,DIK,1,USW00024012,1,True,True,True
11336,DLG,1,USW00025513,1,True,False,False
11337,DLH,2,USW00014913,1,True,True,True
11413,DRO,1,USW00093005,1,True,True,True
11423,DSM,2,USW00014933,1,True,True,True
11433,DTW,1,USW00094847,1,True,True,True
11447,DVL,1,USW00094928,1,True,False,False
11468,EAR,2,USW00014905,1,True,True,True
11470,EAT,1,USW00094239,1,True,True,True
11471,EAU,1,USW00014991,1,True,True,True
11481,ECP,1,USW00073805,1,True,True,True
11503,EGE,1,USW00023063,1,True,False,False
11525,EKO,1,USW00024121,1,True,True,True
11537,ELM,2,USW00014748,1,True,False,False
11540,ELP,2,USW00023044,1,True,True,True
11577,ERI,2,USW00014860,1,True,True,True
11587,ESC,1,USC00202627,1,True,False,False
11603,EUG,2,USW00024221,1,True,True,True
11612,EVV,2,USW00093817,1,True,True,True
11617,EWN,2,USW00093719,1,True,True,True
11618,EWR,2,USW00014734,1,True,True,True
11624,EYW,1,USW00012836,1,True,True,True
11630,FAI,2,USW00026411,1,True,False,False
11637,FAR,2,USW00014914,1,True,True,True
11638,FAT,1,USW00093193,1,True,True,True
11641,FAY,2,USW00093740,1,True,True,True
11648,FCA,2,USW00024146,1,True,False,False
11695,FLG,1,USW00003103,1,True,True,True
11697,FLL,2,USW00012849,1,True,True,True
11699,FLO,2,USW00013744,1,True,True,True
11721,FNT,1,USW00014826,1,True,True,True
11725,FOD,2,USW00094933,1,True,False,False
11775,FSD,2,USC00397666,1,True,True,True
11778,FSM,2,USW00013964,1,True,True,True
11823,FWA,1,USW00014827,1,True,True,True
11865,GCC,2,USW00094023,1,True,False,False
11867,GCK,2,USW00023064,1,True,True,True
11884,GEG,1,USW00024157,1,True,True,True
11898,GFK,2,USW00014916|USW00014917,2,True,False,False
11905,GGG,2,USW00003901,1,True,True,True
11921,GJT,2,USW00023066,1,True,True,True
11953,GNV,2,USW00012816,1,True,True,True
11973,GPT,2,USW00093874,1,True,True,True
11977,GRB,1,USW00014898,1,True,True,True
11980,GRI,2,USW00014935,1,True,True,True
11982,GRK,1,USW00003902,1,True,True,True
11986,GRR,2,USW00094860,1,True,True,True
11995,GSO,1,USW00013723,1,True,True,True
11996,GSP,1,USW00003870,1,True,True,True
12003,GTF,2,USW00024143,1,True,True,True
12007,GTR,1,USW00053893,1,True,True,True
12012,GUC,1,USW00093007,1,True,False,False
12094,HDN,1,USW00094025,1,True,False,False
12119,HGR,1,USW00093706,1,True,True,True
12124,HHH,1,USW00063837,1,True,False,False
12129,HIB,1,USW00094931,1,True,True,True
12156,HLN,1,USW00024144,1,True,True,True
12173,HNL,1,USI0000PHIK,1,True,False,False
12177,HOB,2,USW00093034,1,True,False,False
12191,HOU,2,USW00012918,1,True,True,True
12197,HPN,1,USW00094745,1,True,False,False
12206,HRL,2,USW00012904,1,True,True,True
12217,HSV,1,USW00003856,1,True,True,True
12223,HTS,1,USW00003860,1,True,True,True
12255,HYS,1,USW00003968,1,True,False,False
12264,IAD,2,USW00093738,1,True,True,True
12265,IAG,2,USW00004724,1,True,False,False
12266,IAH,2,USW00012960,1,True,True,True
12278,ICT,2,USW00003928,1,True,True,True
12280,IDA,2,USW00024145,1,True,True,True
12323,ILM,2,USW00013748,1,True,True,True
12335,IMT,1,USW00094893,1,True,True,True
12339,IND,1,USW00093819,1,True,True,True
12343,INL,1,USW00014918,1,True,True,True
12391,ISP,1,USW00004781,1,True,True,True
12397,ITH,1,USW00094761,1,True,False,False
12402,ITO,2,USW00021504,1,True,False,False
12441,JAC,1,USW00024166,1,True,True,True
12448,JAN,1,USW00003940,1,True,True,True
12451,JAX,2,USW00013889,1,True,True,True
12478,JFK,1,USW00094789,1,True,True,True
12511,JLN,2,USW00013987,1,True,True,True
12519,JMS,1,USW00014919,1,True,False,False
12523,JNU,1,USW00025309,1,True,False,False
12544,USA,1,USW00063801,1,True,False,False
12559,JST,2,USW00004726,1,True,True,True
12758,KOA,2,USW00021510,1,True,True,True
12819,KTN,1,USW00025325,1,True,False,False
12884,LAN,1,USW00014836,1,True,True,True
12888,LAR,2,USW00024022,1,True,True,True
12889,LAS,1,USW00023169,1,True,True,True
12891,LAW,2,USW00003950,1,True,True,True
12892,LAX,2,USW00023174,1,True,True,True
12896,LBB,2,USW00023042,1,True,True,True
12898,LBE,1,USW00054735,1,True,False,False
12899,LBF,1,USW00024023,1,True,True,True
12902,LBL,2,USW00023020,1,True,True,True
12915,LCH,1,USI0000KLCH,1,True,False,False
12917,LCK,1,USW00013812,1,True,False,False
12945,LEX,1,USW00093820,1,True,True,True
12951,LFT,2,USW00013976,1,True,True,True
12953,LGA,1,USW00014732,1,True,True,True
12954,LGB,1,USW00023129,1,True,True,True
12982,LIH,2,USW00022536,1,True,False,False
12992,LIT,1,USW00013963,1,True,True,True
13029,LNK,2,USW00014939,1,True,True,True
13076,LSE,2,USW00014920,1,True,True,True
13127,LWS,2,USW00024149,1,True,True,True
13139,LYH,1,USW00013733,1,True,True,True
13158,MAF,1,USC00415893,1,True,True,True
13184,MBS,1,USW00014845,1,True,True,True
13198,MCI,2,USW00003947,1,True,True,True
13204,MCO,2,USW00012815,1,True,True,True
13211,MCW,1,USW00014940,1,True,True,True
13230,MDT,1,USW00014711,1,True,True,True
13232,MDW,1,USW00014819,1,True,True,True
13241,MEI,2,USW00013865,1,True,True,True
13244,MEM,2,USW00013893,1,True,True,True
13256,MFE,1,USW00012959,1,True,True,True
13264,MFR,1,USW00024225,1,True,True,True
13277,MGM,2,USW00013895,1,True,True,True
13282,MGW,1,USW00013736,1,True,True,True
13290,MHK,2,USW00003936,1,True,True,True
13296,MHT,1,USW00014710,1,True,True,True
13303,MIA,2,USW00012839,1,True,True,True
13342,MKE,1,USW00014839,1,True,True,True
13360,MLB,2,USW00012838,1,True,True,True
13367,MLI,2,USW00014923,1,True,True,True
13377,MLU,2,USW00013942,1,True,True,True
13422,MOB,1,USW00013894,1,True,True,True
13433,MOT,1,USW00024013,1,True,True,True
13476,MRY,2,USW00023259,1,True,True,True
13485,MSN,1,USW00014837,1,True,True,True
13486,MSO,2,USW00024153,1,True,True,True
13487,MSP,1,USW00014947,1,True,False,False
13495,MSY,2,USW00012916,1,True,True,True
13502,MTJ,2,USW00093013,1,True,True,True
13577,MYR,1,USW00013717,1,True,True,True
13795,OAJ,1,USW00093753,1,True,False,False
13796,OAK,2,USW00023230,1,True,True,True
13830,OGG,2,USW00022516,1,True,False,False
13851,OKC,2,USW00013967,1,True,True,True
13871,OMA,2,USW00014942,1,True,True,True
13873,OME,1,USW00026617,1,True,False,False
13891,ONT,1,USW00003102,1,True,True,True
13930,ORD,1,USW00014810,1,True,False,False
13931,ORF,1,USW00013737,1,True,True,True
13933,ORH,1,USW00094746,1,True,True,True
13964,OTH,1,USW00024284,1,True,True,True
13970,OTZ,2,USA00701334|USW00026616,2,True,False,False
14004,PAE,2,USW00024222,1,True,False,False
14025,PBG,1,USI0000KPBG,1,True,False,False
14027,PBI,1,USW00012844,1,True,True,True
14057,PDX,2,USW00024229,1,True,True,True
14082,PGD,1,USW00012812,1,True,True,True
14092,PGV,1,USW00013783,1,True,False,False
14098,PHF,2,USW00093741,1,True,True,True
14100,PHL,2,USW00013739,1,True,True,True
14107,PHX,2,USW00023183,1,True,True,True
14108,PIA,2,USW00014842,1,True,True,True
14109,PIB,1,USW00053808,1,True,False,False
14112,PIE,1,USW00012873,1,True,True,True
14113,PIH,2,USW00024108,1,True,False,False
14122,PIT,1,USW00094823,1,True,True,True
14150,PLN,2,USW00014841,1,True,False,False
14193,PNS,2,USW00013899,1,True,True,True
14231,PQI,2,USW00014604,1,True,True,True
14237,PRC,1,USW00023184,1,True,True,True
14252,PSC,1,USW00024163,1,True,True,True
14256,PSG,1,USW00025329,1,True,True,True
14259,PSM,1,USW00004743,1,True,False,False
14262,PSP,1,USW00093138,1,True,True,True
14303,PUW,1,USW00094129,1,True,True,True
14307,PVD,1,USW00014765,1,True,True,True
14314,PVU,2,USW00024174,1,True,False,False
14321,PWM,1,USW00014764,1,True,True,True
14457,RAP,2,USW00024090,1,True,True,True
14487,RDD,2,USW00024257,1,True,True,True
14489,RDM,1,USW00024230,1,True,True,True
14492,RDU,2,USW00013722,1,True,True,True
14512,RFD,1,USW00094822,1,True,True,True
14520,RHI,1,USW00004803,1,True,True,True
14524,RIC,2,USW00013740,1,True,True,True
14534,RIW,2,USW00024061,1,True,True,True
14543,RKS,1,USC00487846,1,True,True,True
14570,RNO,1,USW00023185,1,True,True,True
14574,ROA,2,USW00013741,1,True,True,True
14576,ROC,1,USW00014768,1,True,True,True
14588,ROW,1,USC00297614,1,True,False,False
14633,RST,2,USW00014925,1,True,True,True
14635,RSW,1,USW00012894,1,True,True,True
14674,SAF,2,USW00023049,1,True,True,True
14679,SAN,1,USW00023188,1,True,True,True
14683,SAT,2,USW00012921,1,True,True,True
14685,SAV,2,USW00003822,1,True,True,True
14689,SBA,2,USW00053153,1,True,False,False
14696,SBN,1,USW00014848,1,True,True,True
14698,SBP,2,USW00093206,1,True,True,True
14704,SBY,2,USW00093720,1,True,True,True
14709,SCC,1,USW00027406,1,True,False,False
14711,SCE,2,USW00054739,1,True,False,False
14716,SCK,2,USW00023237,1,True,True,True
14730,SDF,1,USW00093821,1,True,True,True
14747,SEA,1,USW00024233,1,True,True,True
14761,SFB,2,USW00012854,1,True,True,True
14771,SFO,1,USW00023234,1,True,True,True
14783,SGF,1,USW00013995,1,True,True,True
14794,SGU,1,USW00093198,1,True,False,False
14812,SHR,2,USW00024029,1,True,True,True
14814,SHV,2,USW00013957,1,True,True,True
14828,SIT,1,USW00025333,1,True,False,False
14831,SJC,1,USW00023293,1,True,True,True
14842,SJT,1,USC00417944,1,True,True,True
14869,SLC,1,USW00024127,1,True,True,True
14877,SLN,2,USW00013922,1,True,False,False
14893,SMF,1,USW00093225,1,True,True,True
14905,SMX,2,USW00023273,1,True,True,True
14908,SNA,2,USW00093184,1,True,True,True
14952,SPI,2,USW00093822,1,True,True,True
14960,SPS,1,USW00013966,1,True,True,True
14986,SRQ,1,USW00012871,1,True,True,True
15016,STL,1,USW00013994,1,True,True,True
15023,STS,2,USW00023213,1,True,True,True
15041,SUN,1,USW00094161,1,True,False,False
15048,SUX,1,USW00014943,1,True,True,True
15070,SWF,1,USW00014714,1,True,False,False
15074,SWO,2,USW00003965,1,True,True,True
15096,SYR,1,USW00014771,1,True,True,True
15249,TLH,1,USW00093805,1,True,True,True
15295,TOL,2,USW00094830,1,True,True,True
15304,TPA,1,USW00012842,1,True,True,True
15323,TRI,1,USW00013877,1,True,True,True
15356,TTN,1,USW00014792,1,True,True,True
15370,TUL,2,USW00013968,1,True,True,True
15376,TUS,2,USW00023160,1,True,True,True
15380,TVC,1,USW00014850,1,True,True,True
15389,TWF,2,USW00094178,1,True,True,True
15401,TXK,2,USW00013977,1,True,True,True
15411,TYR,2,USW00013972,1,True,True,True
15412,TYS,1,USW00013891,1,True,True,True
15569,VCT,1,USW00012912,1,True,True,True
15607,VLD,2,USW00093845,1,True,True,True
15624,VPS,2,USW00013858,1,True,False,False
15841,WRG,1,USW00025338,1,True,False,False
15919,XNA,1,USW00053922,1,True,True,True
15991,YAK,2,USW00025339,1,True,False,False
16101,YKM,1,USW00024243,1,True,True,True
16218,YUM,1,USW00003145,1,True,True,True
16869,XWA,1,USW00094099,1,True,False,False
